JobID|State|ExitCode|Elapsed|MaxRSS|AllocCPUS
50497534_61.batch|COMPLETED|0:0|00:00:47|517664K|2
50497534_61.extern|COMPLETED|0:0|00:00:47||2
50497534_62|COMPLETED|0:0|00:00:44||2
50497534_62.batch|COMPLETED|0:0|00:00:44|517068K|2
50497534_62.extern|COMPLETED|0:0|00:00:44||2
50497534_63|COMPLETED|0:0|00:00:43||2
50497534_63.batch|COMPLETED|0:0|00:00:43|521824K|2
50497534_63.extern|COMPLETED|0:0|00:00:43||2
50497534_64|COMPLETED|0:0|00:00:43||2
50497534_64.batch|COMPLETED|0:0|00:00:43|520128K|2
50497534_64.extern|COMPLETED|0:0|00:00:43||2
50497534_65|COMPLETED|0:0|00:13:08||2
50497534_65.batch|COMPLETED|0:0|00:13:08|525444K|2
50497534_65.extern|COMPLETED|0:0|00:13:08||2
50497534_66|COMPLETED|0:0|00:13:00||2
50497534_66.batch|COMPLETED|0:0|00:13:00|524784K|2
50497534_66.extern|COMPLETED|0:0|00:13:00||2
50497534_67|COMPLETED|0:0|00:15:09||2
50497534_67.batch|COMPLETED|0:0|00:15:09|525936K|2
50497534_67.extern|COMPLETED|0:0|00:15:09||2
50497534_68|COMPLETED|0:0|00:12:13||2
50497534_68.batch|COMPLETED|0:0|00:12:13|520596K|2
50497534_68.extern|COMPLETED|0:0|00:12:13||2
50497534_69|COMPLETED|0:0|00:13:30||2
50497534_69.batch|COMPLETED|0:0|00:13:30|522844K|2
50497534_69.extern|COMPLETED|0:0|00:13:30||2
50497534_70|COMPLETED|0:0|00:01:27||2
50497534_70.batch|COMPLETED|0:0|00:01:27|518672K|2
50497534_70.extern|COMPLETED|0:0|00:01:27||2
50497534_71|COMPLETED|0:0|00:01:29||2
50497534_71.batch|COMPLETED|0:0|00:01:29|521744K|2
50497534_71.extern|COMPLETED|0:0|00:01:29||2
50497534_72|COMPLETED|0:0|00:01:29||2
50497534_72.batch|COMPLETED|0:0|00:01:29|518920K|2
50497534_72.extern|COMPLETED|0:0|00:01:29||2
50497534_73|COMPLETED|0:0|00:01:27||2
50497534_73.batch|COMPLETED|0:0|00:01:27|521332K|2
50497534_73.extern|COMPLETED|0:0|00:01:27||2
50497534_74|COMPLETED|0:0|00:01:28||2
50497534_74.batch|COMPLETED|0:0|00:01:28|520252K|2
50497534_74.extern|COMPLETED|0:0|00:01:28||2
50497534_75|COMPLETED|0:0|00:00:46||2
50497534_75.batch|COMPLETED|0:0|00:00:46|523972K|2
50497534_75.extern|COMPLETED|0:0|00:00:46||2
50497534_76|COMPLETED|0:0|00:00:28||2
50497534_76.batch|COMPLETED|0:0|00:00:28|2056K|2
50497534_76.extern|COMPLETED|0:0|00:00:28||2
50497534_77|COMPLETED|0:0|00:00:42||2
50497534_77.batch|COMPLETED|0:0|00:00:42|521204K|2
50497534_77.extern|COMPLETED|0:0|00:00:42||2
50497534_78|COMPLETED|0:0|00:00:42||2
50497534_78.batch|COMPLETED|0:0|00:00:42|521380K|2
50497534_78.extern|COMPLETED|0:0|00:00:42||2
50497534_79|COMPLETED|0:0|00:00:42||2
50497534_79.batch|COMPLETED|0:0|00:00:42|518092K|2
50497534_79.extern|COMPLETED|0:0|00:00:42||2
50497534_80|COMPLETED|0:0|00:13:49||2
50497534_80.batch|COMPLETED|0:0|00:13:49|527672K|2
50497534_80.extern|COMPLETED|0:0|00:13:49||2
50497534_81|COMPLETED|0:0|00:13:11||2
50497534_81.batch|COMPLETED|0:0|00:13:11|525512K|2
50497534_81.extern|COMPLETED|0:0|00:13:11||2
50497534_82|COMPLETED|0:0|00:12:35||2
50497534_82.batch|COMPLETED|0:0|00:12:35|525528K|2
50497534_82.extern|COMPLETED|0:0|00:12:35||2
50497534_83|COMPLETED|0:0|00:13:22||2
50497534_83.batch|COMPLETED|0:0|00:13:22|522004K|2
50497534_83.extern|COMPLETED|0:0|00:13:23||2
50497534_84|COMPLETED|0:0|00:12:38||2
50497534_84.batch|COMPLETED|0:0|00:12:38|525480K|2
50497534_84.extern|COMPLETED|0:0|00:12:38||2
